Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T1</b>,104,RdC,"22,67 m2",,,,57,<b>76 000 €</b>,3352 €/m2,Vendu,<button>Plan</button>
<b>T1</b>,108,RdC,"22,67 m2",,,,61,<b>76 000 €</b>,3352 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,143,RdC,"46,12 m2",,,,83,<b>142 000 €</b>,3078 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,144,RdC,"46,12 m2",,,,84,<b>142 000 €</b>,3078 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,145,RdC,"46,23 m2",,,,85,<b>142 000 €</b>,3071 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,158,R+2,"46,23 m2",,,,98,<b>147 000 €</b>,3179 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,159,R+2,"46,23 m2",,,,99,<b>147 000 €</b>,3179 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,166,RdC,"31,38 m2",,,,147,<b>97 000 €</b>,3091 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,174,R+1,"31,38 m2",,,,114,<b>105 000 €</b>,3346 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,181,R+2,"31,38 m2",,,,121,<b>118 000 €</b>,3760 €/m2,Vendu,<button>Plan</button>
