Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T2</b>,02B101,,"38,01 m2",,,Nord,,<b>213 000 €</b>,5616 €/m2,Optionné,<button>Plan</button>
<b>T3</b>,02B004,,"60,95 m2",,,Sud,,<b>308 000 €</b>,5061 €/m2,Disponible,<button>Plan</button>
