Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T3</b>,B19,R+1,"57,07 m2","8,53 m2",,,pkg. ssol. 27,<b>285 000 €</b>,4993 €/m2,Optionné,<button>Plan</button>
<b>T3</b>,B29,R+2,"57,07 m2","8,53 m2",,,Box ssol. double 48,<b>295 000 €</b>,5169 €/m2,Optionné,<button>Plan</button>
<b>T4</b>,B31,R+3,"80,77 m2","15,28 m2",,,"Box ssol. 45, pkg. ssol. 40",<b>415 000 €</b>,5138 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,B33,R+3,"81,52 m2","15,74 m2",,,"Box ssol. 44, pkg. ssol. 39",<b>425 000 €</b>,5213 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B19,,"57,07 m2",,,Est,,<b>285 000 €</b>,4993 €/m2,Optionné,<button>Plan</button>
<b>T3</b>,B29,,"57,07 m2",,,Nord-Est,,<b>295 000 €</b>,5169 €/m2,Optionné,<button>Plan</button>
<b>T4</b>,B31,,"80,77 m2",,,Nord-Est,,<b>415 000 €</b>,5138 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,B33,,"81,52 m2",,,Sud,,<b>425 000 €</b>,5213 €/m2,Disponible,<button>Plan</button>
