Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T3</b>,01C051,,"59,4 m2",,,Sud,,<b>220 000 €</b>,3710 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01B101,,"59,4 m2",,,Sud,,<b>232 000 €</b>,3919 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01B071,,"61,8 m2",,,Sud,,<b>232 000 €</b>,3767 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01B093,,"59,7 m2",,,Sud,,<b>232 000 €</b>,3900 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01B103,,"59,7 m2",,,Sud,,<b>235 000 €</b>,3936 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01B081,,"59,4 m2",,,Sud,,<b>235 000 €</b>,3956 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01C063,,"60,7 m2",,,Ouest,,<b>245 000 €</b>,4046 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01C0B2,,"65,8 m2",,,Ouest,,<b>246 000 €</b>,3748 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,01CB03,,"68,5 m2",,,Ouest,,<b>255 000 €</b>,3725 €/m2,Disponible,<button>Plan</button>
